,,,,
0.012184858322143555,-0.13,0.03,0.34,0.36
0.014126062393188477,-0.13,-0.02,0.13,0.18
0.0151519775390625,-0.08,-0.06,0.03,0.1
0.018110036849975586,-0.02,-0.08,0.0,0.08
0.028290987014770508,0.03,-0.06,0.01,0.06
0.03849387168884277,0.07,-0.02,0.01,0.07
0.04865002632141113,0.07,0.02,0.04,0.08
0.05863595008850098,0.03,0.03,0.11,0.11
0.06876397132873535,-0.02,0.01,0.21,0.21
0.07972908020019531,-0.05,-0.02,0.3,0.3
0.10152792930603027,-0.05,-0.03,0.31,0.31
0.10273289680480957,-0.06,-0.02,0.29,0.29
0.10840010643005371,-0.06,-0.02,0.22,0.22
0.11899304389953613,-0.05,-0.01,0.13,0.13
0.1289370059967041,-0.04,-0.02,0.08,0.09
0.138901948928833,0.0,-0.03,0.06,0.06
0.14912104606628418,0.02,-0.05,0.08,0.09
0.15895700454711914,0.01,-0.06,0.13,0.14
0.17005419731140137,-0.01,-0.04,0.16,0.16
0.1800069808959961,-0.03,-0.02,0.19,0.19
0.2013230323791504,-0.07,0.0,0.22,0.23
0.20255017280578613,-0.08,0.0,0.23,0.24
0.20885920524597168,-0.07,0.0,0.22,0.23
0.21930503845214844,-0.07,-0.01,0.2,0.21
0.22936201095581055,-0.05,-0.03,0.17,0.17
0.23933005332946777,-0.04,-0.04,0.13,0.14
0.2493579387664795,-0.02,-0.04,0.11,0.11
0.25937700271606445,-0.02,-0.03,0.1,0.1
0.27019500732421875,-0.01,-0.03,0.14,0.14
0.2801930904388428,-0.02,-0.02,0.17,0.17
0.30060505867004395,-0.02,-0.01,0.2,0.2
0.3017749786376953,-0.03,-0.01,0.23,0.23
0.30927014350891113,-0.04,-0.01,0.21,0.21
0.3198201656341553,-0.03,-0.02,0.17,0.17
0.3298320770263672,-0.01,-0.03,0.14,0.14
0.3395540714263916,-0.01,-0.03,0.12,0.12
0.3498070240020752,0.0,-0.03,0.11,0.11
0.3607809543609619,0.01,-0.03,0.13,0.13
0.37029600143432617,0.01,-0.04,0.16,0.16
0.38054704666137695,-0.01,-0.04,0.18,0.18
0.4044530391693115,-0.02,-0.03,0.18,0.18
0.40552210807800293,-0.04,-0.02,0.19,0.19
0.4095489978790283,-0.04,0.0,0.19,0.19
0.42000508308410645,-0.04,0.0,0.2,0.2
0.4301469326019287,-0.05,0.0,0.18,0.18
0.44028806686401367,-0.04,-0.02,0.15,0.15
0.4500880241394043,-0.04,-0.01,0.14,0.14
0.46137118339538574,-0.03,-0.02,0.13,0.13
0.47071290016174316,-0.02,-0.02,0.15,0.15
0.4810512065887451,-0.02,-0.02,0.17,0.17
0.5046741962432861,-0.03,-0.02,0.17,0.17
0.5055749416351318,-0.04,-0.02,0.19,0.19
0.5098621845245361,-0.04,-0.02,0.19,0.19
0.520435094833374,-0.04,-0.03,0.18,0.18
0.5305979251861572,-0.03,-0.03,0.17,0.17
0.5407779216766357,-0.01,-0.05,0.14,0.14
0.5507409572601318,0.0,-0.04,0.13,0.13
0.5615041255950928,0.02,-0.04,0.13,0.13
0.5710861682891846,0.0,-0.03,0.12,0.12
0.581287145614624,-0.01,-0.01,0.15,0.15
0.6034750938415527,-0.03,-0.01,0.17,0.17
0.6047089099884033,-0.04,0.0,0.19,0.19
0.6104240417480469,-0.05,-0.01,0.19,0.19
0.6204731464385986,-0.06,-0.02,0.18,0.19
0.6309201717376709,-0.05,-0.02,0.17,0.17
0.6407439708709717,-0.05,-0.03,0.16,0.17
0.650672197341919,-0.05,-0.03,0.13,0.14
0.6615121364593506,-0.04,-0.03,0.15,0.15
0.6712028980255127,-0.04,-0.02,0.17,0.17
0.6818630695343018,-0.02,0.0,0.17,0.17
0.706589937210083,-0.01,0.01,0.16,0.16
0.7081401348114014,-0.02,0.01,0.17,0.17
0.710655927658081,-0.02,-0.02,0.18,0.18
0.7208430767059326,-0.02,-0.04,0.17,0.17
0.7312328815460205,-0.01,-0.04,0.16,0.16
0.7410261631011963,0.0,-0.04,0.16,0.16
0.7509920597076416,0.0,-0.04,0.16,0.16
0.7620840072631836,-0.01,-0.02,0.16,0.16
0.7715520858764648,-0.02,-0.01,0.16,0.16
0.7822020053863525,-0.02,0.0,0.17,0.17
0.8082001209259033,-0.02,-0.02,0.16,0.16
0.809333086013794,-0.03,-0.02,0.17,0.17
0.810945987701416,-0.03,-0.03,0.16,0.16
0.8299648761749268,-0.04,-0.03,0.16,0.16
0.8314840793609619,-0.05,-0.03,0.18,0.18
0.8417370319366455,-0.03,-0.02,0.17,0.17
0.851769208908081,-0.04,-0.01,0.17,0.17
0.8617560863494873,-0.04,-0.02,0.16,0.16
0.8725969791412354,-0.04,-0.01,0.15,0.15
0.8825361728668213,-0.03,-0.02,0.15,0.15
0.9055299758911133,-0.03,-0.02,0.15,0.15
0.9063100814819336,-0.02,-0.01,0.16,0.16
0.9115831851959229,-0.02,-0.03,0.17,0.17
0.9218490123748779,-0.02,-0.04,0.18,0.18
0.9319698810577393,-0.03,-0.04,0.18,0.18
0.9418480396270752,-0.03,-0.04,0.17,0.17
0.9522030353546143,-0.02,-0.02,0.16,0.16
0.9616749286651611,-0.02,-0.02,0.16,0.16
0.9735081195831299,-0.03,-0.01,0.15,0.15
0.9828221797943115,-0.02,-0.01,0.15,0.15
1.008531093597412,-0.02,-0.01,0.15,0.15
1.0092198848724365,-0.04,-0.01,0.16,0.16
1.011854887008667,-0.03,-0.02,0.19,0.19
1.022369146347046,-0.03,-0.03,0.18,0.18
1.0323560237884521,-0.05,-0.03,0.17,0.17
